Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
Rose_4.jpg,ResNet50,hip,72.5,hip (72.5%) | hummingbird (8.1%) | sulphur_butterfly (4.7%) | bee (4.1%) | brassiere (2.2%)
Marigold_0.jpg,ResNet50,cardoon,24.72,cardoon (24.7%) | daisy (14.6%) | spaghetti_squash (10.9%) | goldfish (4.8%) | zucchini (4.0%)
Marigold_1.jpg,ResNet50,spaghetti_squash,17.2,spaghetti_squash (17.2%) | daisy (16.6%) | stinkhorn (12.1%) | cardoon (8.5%) | hen-of-the-woods (6.5%)
Marigold_2.jpg,ResNet50,spaghetti_squash,22.75,spaghetti_squash (22.8%) | coral_fungus (15.7%) | stinkhorn (12.9%) | cardoon (4.3%) | barn_spider (3.6%)
Marigold_3.jpg,ResNet50,daisy,18.21,daisy (18.2%) | pot (7.2%) | earthstar (6.3%) | hen-of-the-woods (4.7%) | Sussex_spaniel (3.8%)
Marigold_4.jpg,ResNet50,eggnog,9.23,eggnog (9.2%) | packet (8.3%) | daisy (6.5%) | pot (6.3%) | prayer_rug (5.9%)
Hibiscus_0.jpg,ResNet50,daisy,17.64,daisy (17.6%) | pot (15.6%) | hip (10.4%) | bee (8.3%) | cabbage_butterfly (6.4%)
Hibiscus_1.jpg,ResNet50,daisy,26.44,daisy (26.4%) | cabbage_butterfly (11.5%) | hip (9.7%) | pot (7.2%) | earthstar (5.3%)
Hibiscus_2.jpg,ResNet50,cabbage_butterfly,73.23,cabbage_butterfly (73.2%) | daisy (4.2%) | pot (3.7%) | chainlink_fence (2.4%) | plastic_bag (2.4%)
Hibiscus_3.jpg,ResNet50,pot,21.43,pot (21.4%) | cabbage_butterfly (15.9%) | daisy (11.6%) | greenhouse (7.9%) | spider_web (4.3%)
Hibiscus_4.jpg,ResNet50,greenhouse,34.96,greenhouse (35.0%) | pot (28.7%) | daisy (19.8%) | hip (3.4%) | cabbage_butterfly (2.1%)
Nayantara_0.jpg,ResNet50,daisy,21.31,daisy (21.3%) | pot (10.3%) | lycaenid (5.6%) | fly (5.4%) | ant (4.6%)
Nayantara_1.jpg,ResNet50,daisy,21.88,daisy (21.9%) | pot (14.4%) | picket_fence (6.3%) | slug (4.6%) | chainlink_fence (4.2%)
Nayantara_2.jpg,ResNet50,daisy,83.08,daisy (83.1%) | pot (5.4%) | lacewing (3.6%) | cabbage_butterfly (1.4%) | ant (1.0%)
Nayantara_3.jpg,ResNet50,daisy,33.6,daisy (33.6%) | pot (16.9%) | bell_pepper (3.7%) | cabbage_butterfly (2.7%) | chainlink_fence (2.0%)
Nayantara_4.jpg,ResNet50,daisy,43.03,daisy (43.0%) | cabbage_butterfly (11.2%) | hip (9.8%) | pot (3.7%) | earthstar (3.5%)
sunflower_0.jpg,InceptionV3,daisy,97.62,daisy (97.6%) | bee (0.1%) | sulphur_butterfly (0.1%) | bottlecap (0.1%) | monarch (0.0%)
sunflower_1.jpg,InceptionV3,daisy,97.5,daisy (97.5%) | bee (0.2%) | sulphur_butterfly (0.1%) | picket_fence (0.1%) | monarch (0.1%)
sunflower_2.jpg,InceptionV3,daisy,93.91,daisy (93.9%) | bee (0.4%) | sulphur_butterfly (0.2%) | monarch (0.1%) | fly (0.1%)
sunflower_3.jpg,InceptionV3,daisy,94.45,daisy (94.4%) | bee (0.7%) | monarch (0.4%) | sulphur_butterfly (0.3%) | fly (0.1%)
sunflower_4.jpg,InceptionV3,daisy,93.93,daisy (93.9%) | monarch (0.5%) | bee (0.3%) | sulphur_butterfly (0.3%) | fly (0.1%)
Rose_0.jpg,InceptionV3,gyromitra,16.29,gyromitra (16.3%) | stinkhorn (13.8%) | hip (8.1%) | earthstar (2.8%) | pomegranate (2.6%)
Rose_1.jpg,InceptionV3,hip,60.51,hip (60.5%) | hummingbird (3.1%) | sulphur_butterfly (2.3%) | bee (1.8%) | chainlink_fence (1.4%)
Rose_2.jpg,InceptionV3,bee,22.1,bee (22.1%) | daisy (13.7%) | picket_fence (7.9%) | cabbage_butterfly (5.1%) | sulphur_butterfly (3.7%)
