Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
Shawon_2.jpg,ResNet50,barbershop,26.91,barbershop (26.9%) | lab_coat (18.7%) | bow_tie (7.9%) | cellular_telephone (2.6%) | hotdog (2.5%)
Shawon_3.jpg,ResNet50,tub,11.42,tub (11.4%) | groom (7.3%) | lab_coat (5.2%) | bathtub (4.5%) | Band_Aid (3.9%)
Shawon_4.jpg,ResNet50,cellular_telephone,7.57,cellular_telephone (7.6%) | bow_tie (7.5%) | groom (6.2%) | suit (5.8%) | lab_coat (5.1%)
angle_0.jpg,ResNet50,hair_slide,17.6,hair_slide (17.6%) | lens_cap (12.3%) | Band_Aid (10.6%) | maraca (8.8%) | swing (6.3%)
angle_1.jpg,ResNet50,swing,46.25,swing (46.2%) | horizontal_bar (7.5%) | crib (6.3%) | bath_towel (5.6%) | nipple (5.5%)
angle_2.jpg,ResNet50,bow_tie,18.11,bow_tie (18.1%) | face_powder (14.6%) | Band_Aid (11.4%) | stethoscope (5.4%) | lab_coat (4.8%)
angle_3.jpg,ResNet50,bath_towel,49.7,bath_towel (49.7%) | bathing_cap (22.0%) | shower_cap (20.1%) | diaper (2.8%) | bathtub (1.0%)
angle_4.jpg,ResNet50,maraca,18.08,maraca (18.1%) | hair_slide (11.1%) | tub (8.1%) | crib (8.1%) | bathtub (7.9%)
angle_0.jpg,ResNet50,hair_slide,17.71,hair_slide (17.7%) | Band_Aid (11.5%) | swing (8.7%) | lens_cap (7.3%) | maraca (5.9%)
angle_1.jpg,ResNet50,bath_towel,99.91,bath_towel (99.9%) | bonnet (0.0%) | shower_cap (0.0%) | bathing_cap (0.0%) | diaper (0.0%)
angle_2.jpg,ResNet50,sunscreen,16.38,sunscreen (16.4%) | diaper (12.9%) | hair_slide (11.6%) | Band_Aid (10.9%) | maraca (4.7%)
angle_3.jpg,ResNet50,diaper,67.39,diaper (67.4%) | maraca (13.3%) | crib (4.2%) | bucket (3.0%) | bath_towel (2.3%)
angle_4.jpg,ResNet50,bath_towel,96.58,bath_towel (96.6%) | bonnet (1.8%) | diaper (0.4%) | shower_cap (0.3%) | bathing_cap (0.2%)
angle_0.jpg,ResNet50,bonnet,17.49,bonnet (17.5%) | sweatshirt (12.2%) | wool (10.0%) | seat_belt (8.1%) | abaya (7.0%)
angle_1.jpg,ResNet50,crib,14.26,crib (14.3%) | bathtub (12.7%) | hair_slide (8.4%) | tub (6.8%) | diaper (4.2%)
angle_2.jpg,ResNet50,stethoscope,30.81,stethoscope (30.8%) | Band_Aid (25.6%) | hair_slide (10.7%) | seat_belt (3.7%) | pajama (2.1%)
angle_3.jpg,ResNet50,Band_Aid,16.63,Band_Aid (16.6%) | Windsor_tie (4.3%) | soccer_ball (3.2%) | maraca (2.5%) | sweatshirt (2.4%)
angle_4.jpg,ResNet50,Band_Aid,14.77,Band_Aid (14.8%) | stethoscope (7.6%) | hair_slide (6.8%) | bib (5.8%) | velvet (4.6%)
Saidul_0.jpg,InceptionV3,paintbrush,12.75,paintbrush (12.8%) | comic_book (7.4%) | packet (5.4%) | stethoscope (4.3%) | toyshop (2.7%)
Saidul_1.jpg,InceptionV3,envelope,26.12,envelope (26.1%) | carton (4.4%) | packet (2.8%) | paintbrush (2.6%) | wig (1.5%)
Saidul_2.jpg,InceptionV3,syringe,5.36,syringe (5.4%) | bubble (4.2%) | wig (3.1%) | ice_lolly (2.5%) | Petri_dish (2.4%)
Saidul_3.jpg,InceptionV3,toyshop,10.73,toyshop (10.7%) | umbrella (7.9%) | comic_book (7.0%) | confectionery (3.9%) | ice_lolly (3.3%)
Saidul_4.jpg,InceptionV3,wool,7.6,wool (7.6%) | wig (3.0%) | handkerchief (2.6%) | bonnet (1.9%) | ice_lolly (1.9%)
Borhan_0.jpg,InceptionV3,barbershop,10.42,barbershop (10.4%) | grocery_store (7.0%) | prison (3.0%) | Band_Aid (3.0%) | lab_coat (3.0%)
Borhan_1.jpg,InceptionV3,barbershop,38.35,barbershop (38.3%) | ice_lolly (5.3%) | grocery_store (4.3%) | butcher_shop (3.0%) | ice_cream (1.9%)
Borhan_2.jpg,InceptionV3,suit,8.54,suit (8.5%) | lab_coat (7.6%) | Windsor_tie (6.6%) | sweatshirt (4.6%) | bulletproof_vest (4.6%)
Borhan_3.jpg,InceptionV3,lab_coat,4.62,lab_coat (4.6%) | barbershop (4.1%) | suit (2.4%) | neck_brace (2.3%) | Windsor_tie (2.3%)
Borhan_4.jpg,InceptionV3,lab_coat,15.08,lab_coat (15.1%) | barbershop (9.1%) | tench (5.1%) | Windsor_tie (4.5%) | barracouta (3.9%)
Nazmul_0.jpg,InceptionV3,stole,16.74,stole (16.7%) | hair_spray (14.0%) | lab_coat (5.7%) | neck_brace (5.2%) | jersey (4.9%)
Nazmul_1.jpg,InceptionV3,jersey,51.74,jersey (51.7%) | wig (29.3%) | hair_spray (1.7%) | drumstick (1.7%) | hand_blower (0.6%)
Nazmul_2.jpg,InceptionV3,jersey,20.96,jersey (21.0%) | neck_brace (10.6%) | bib (10.0%) | carousel (3.9%) | seat_belt (3.0%)
Nazmul_3.jpg,InceptionV3,wig,48.5,wig (48.5%) | jersey (14.8%) | hair_spray (5.4%) | drumstick (1.9%) | sombrero (1.8%)
Nazmul_4.jpg,InceptionV3,neck_brace,75.99,neck_brace (76.0%) | jersey (6.8%) | stole (1.7%) | hair_spray (0.8%) | lab_coat (0.8%)
Shawon_0.jpg,InceptionV3,prison,80.79,prison (80.8%) | turnstile (1.1%) | hair_spray (0.9%) | wig (0.7%) | jersey (0.6%)
Shawon_1.jpg,InceptionV3,prison,27.9,prison (27.9%) | snorkel (5.6%) | shopping_cart (2.1%) | neck_brace (1.7%) | lab_coat (1.5%)
Shawon_2.jpg,InceptionV3,prison,39.86,prison (39.9%) | lab_coat (5.0%) | barbershop (3.4%) | paintbrush (1.9%) | cellular_telephone (1.8%)
Shawon_3.jpg,InceptionV3,lab_coat,51.61,lab_coat (51.6%) | prison (1.5%) | groom (1.2%) | Windsor_tie (1.1%) | stethoscope (1.0%)
Shawon_4.jpg,InceptionV3,cellular_telephone,19.87,cellular_telephone (19.9%) | lab_coat (6.5%) | neck_brace (4.3%) | prison (2.2%) | bow_tie (1.9%)
angle_0.jpg,InceptionV3,ice_lolly,14.89,ice_lolly (14.9%) | maraca (7.3%) | stethoscope (5.0%) | nipple (3.9%) | bonnet (3.6%)
angle_1.jpg,InceptionV3,maraca,7.21,maraca (7.2%) | nipple (5.5%) | swing (4.8%) | diaper (4.6%) | neck_brace (4.2%)
angle_2.jpg,InceptionV3,diaper,7.97,diaper (8.0%) | nipple (6.6%) | Band_Aid (2.7%) | ice_lolly (2.7%) | maraca (2.6%)
angle_3.jpg,InceptionV3,bathing_cap,79.51,bathing_cap (79.5%) | bath_towel (7.7%) | shower_cap (4.7%) | diaper (1.1%) | bonnet (0.8%)
angle_4.jpg,InceptionV3,nipple,19.63,nipple (19.6%) | maraca (18.8%) | ice_lolly (7.5%) | diaper (6.2%) | bath_towel (4.8%)
angle_0.jpg,InceptionV3,ice_lolly,12.76,ice_lolly (12.8%) | stethoscope (6.5%) | maraca (5.4%) | lab_coat (4.7%) | seat_belt (4.4%)
angle_1.jpg,InceptionV3,bath_towel,65.56,bath_towel (65.6%) | bonnet (4.7%) | shower_cap (1.9%) | cowboy_hat (1.7%) | sombrero (1.0%)
angle_2.jpg,InceptionV3,diaper,24.72,diaper (24.7%) | sunscreen (15.6%) | swimming_trunks (4.1%) | bath_towel (3.8%) | ice_lolly (3.4%)
angle_3.jpg,InceptionV3,diaper,28.35,diaper (28.3%) | maraca (14.5%) | bath_towel (11.4%) | swing (3.5%) | ice_lolly (2.8%)
angle_4.jpg,InceptionV3,bath_towel,79.31,bath_towel (79.3%) | diaper (5.1%) | shower_cap (1.7%) | bonnet (0.9%) | bathing_cap (0.4%)
angle_0.jpg,InceptionV3,shower_cap,41.06,shower_cap (41.1%) | bonnet (15.1%) | wool (2.8%) | suit (2.4%) | seat_belt (1.9%)
angle_1.jpg,InceptionV3,diaper,21.18,diaper (21.2%) | bath_towel (11.6%) | bassinet (8.7%) | cradle (6.9%) | nipple (5.8%)
angle_2.jpg,InceptionV3,maraca,9.75,maraca (9.8%) | pajama (7.3%) | Band_Aid (4.8%) | nipple (4.1%) | ice_lolly (4.1%)
angle_3.jpg,InceptionV3,nipple,10.47,nipple (10.5%) | maraca (9.1%) | Band_Aid (5.5%) | ice_lolly (5.0%) | stethoscope (4.2%)
angle_4.jpg,InceptionV3,maraca,15.07,maraca (15.1%) | nipple (5.9%) | diaper (4.8%) | Band_Aid (4.2%) | bib (3.6%)
Saidul_0.jpg,Xception,wig,10.99,wig (11.0%) | bow_tie (9.4%) | suit (5.8%) | military_uniform (3.5%) | Band_Aid (3.2%)
Saidul_1.jpg,Xception,military_uniform,32.28,military_uniform (32.3%) | suit (5.1%) | bearskin (2.9%) | envelope (2.1%) | comic_book (1.9%)
Saidul_2.jpg,Xception,syringe,6.47,syringe (6.5%) | hair_spray (6.3%) | face_powder (4.5%) | paintbrush (3.9%) | wig (3.5%)
Saidul_3.jpg,Xception,paintbrush,8.1,paintbrush (8.1%) | wig (4.4%) | book_jacket (3.9%) | lipstick (3.8%) | military_uniform (3.5%)
Saidul_4.jpg,Xception,wig,16.17,wig (16.2%) | paintbrush (4.0%) | book_jacket (3.8%) | lipstick (2.4%) | hair_spray (2.1%)
Borhan_0.jpg,Xception,barbershop,54.35,barbershop (54.4%) | butcher_shop (2.7%) | bulletproof_vest (2.3%) | barber_chair (1.9%) | neck_brace (1.1%)
Borhan_1.jpg,Xception,butcher_shop,31.32,butcher_shop (31.3%) | barbershop (23.0%) | grocery_store (7.3%) | restaurant (2.4%) | barber_chair (1.5%)
Borhan_2.jpg,Xception,barbershop,24.43,barbershop (24.4%) | neck_brace (5.4%) | bulletproof_vest (4.8%) | tobacco_shop (2.7%) | Band_Aid (2.1%)
Borhan_3.jpg,Xception,barbershop,22.97,barbershop (23.0%) | toyshop (3.2%) | butcher_shop (2.5%) | comic_book (2.4%) | tobacco_shop (2.4%)
Borhan_4.jpg,Xception,barbershop,17.54,barbershop (17.5%) | lab_coat (3.2%) | bulletproof_vest (2.9%) | neck_brace (2.8%) | hand-held_computer (1.9%)
Nazmul_0.jpg,Xception,barbershop,32.57,barbershop (32.6%) | lab_coat (10.0%) | neck_brace (7.4%) | tobacco_shop (5.3%) | toyshop (3.3%)
Nazmul_1.jpg,Xception,barbershop,11.36,barbershop (11.4%) | lab_coat (4.7%) | jersey (4.2%) | hair_spray (3.2%) | neck_brace (3.1%)
Nazmul_2.jpg,Xception,seat_belt,11.11,seat_belt (11.1%) | neck_brace (5.2%) | lab_coat (4.3%) | wig (2.9%) | shower_cap (2.2%)
Nazmul_3.jpg,Xception,wig,13.32,wig (13.3%) | sombrero (3.3%) | neck_brace (2.9%) | ballplayer (2.3%) | microphone (1.5%)
Nazmul_4.jpg,Xception,neck_brace,59.99,neck_brace (60.0%) | barbershop (4.8%) | stole (4.6%) | lab_coat (1.8%) | ski_mask (1.5%)
Shawon_0.jpg,Xception,barbershop,12.17,barbershop (12.2%) | lab_coat (9.4%) | prison (4.3%) | cellular_telephone (3.1%) | neck_brace (2.5%)
Shawon_1.jpg,Xception,prison,11.26,prison (11.3%) | lab_coat (4.0%) | paintbrush (3.8%) | neck_brace (2.4%) | bow_tie (1.9%)
Shawon_2.jpg,Xception,lab_coat,19.48,lab_coat (19.5%) | barbershop (5.2%) | cellular_telephone (3.6%) | prison (2.8%) | cash_machine (2.4%)
Shawon_3.jpg,Xception,lab_coat,21.67,lab_coat (21.7%) | bow_tie (4.9%) | neck_brace (2.9%) | barbershop (2.3%) | stethoscope (2.3%)
Shawon_4.jpg,Xception,lab_coat,10.84,lab_coat (10.8%) | sunscreen (3.1%) | bow_tie (3.0%) | barbershop (2.6%) | neck_brace (2.1%)
angle_0.jpg,Xception,ice_lolly,9.9,ice_lolly (9.9%) | pajama (7.9%) | maraca (7.7%) | bib (5.8%) | soccer_ball (4.8%)
angle_1.jpg,Xception,bib,17.66,bib (17.7%) | swing (15.2%) | bath_towel (7.3%) | sleeping_bag (6.4%) | maraca (4.6%)
angle_2.jpg,Xception,Band_Aid,30.94,Band_Aid (30.9%) | nipple (7.6%) | diaper (3.1%) | pajama (3.1%) | stethoscope (2.8%)
angle_3.jpg,Xception,bathing_cap,99.08,bathing_cap (99.1%) | bath_towel (0.3%) | shower_cap (0.3%) | bonnet (0.0%) | swimming_trunks (0.0%)
angle_4.jpg,Xception,diaper,10.72,diaper (10.7%) | tub (7.4%) | crib (6.3%) | maraca (6.3%) | swing (6.1%)
angle_0.jpg,Xception,maraca,11.93,maraca (11.9%) | ice_lolly (9.2%) | pajama (6.6%) | bib (5.9%) | soccer_ball (5.4%)
angle_1.jpg,Xception,bath_towel,93.16,bath_towel (93.2%) | bonnet (3.7%) | shower_cap (0.3%) | sweatshirt (0.3%) | diaper (0.2%)
angle_2.jpg,Xception,diaper,34.41,diaper (34.4%) | bath_towel (20.9%) | tub (10.7%) | bathtub (4.4%) | swimming_trunks (3.0%)
angle_3.jpg,Xception,diaper,55.21,diaper (55.2%) | bath_towel (22.8%) | tub (4.1%) | bathtub (2.0%) | maraca (1.5%)
angle_4.jpg,Xception,bath_towel,95.26,bath_towel (95.3%) | bonnet (1.6%) | diaper (0.5%) | shower_cap (0.2%) | bathing_cap (0.1%)
